StudyHours,Attendance,PreviousScore,AssignmentScore,SleepHours,FinalScore
6.6,72.9,57.8,53.9,7.4,66.1
5.2,72.6,63.4,57.8,7.3,65.3
6.9,56.5,59.0,52.1,5.9,59.5
8.9,74.0,69.7,69.4,7.7,81.4
5.0,86.8,86.0,68.0,5.2,81.0
5.0,62.7,56.4,44.9,6.2,54.5
9.0,90.6,83.0,83.2,4.6,93.6
7.2,83.9,56.3,53.2,8.9,66.0
4.5,69.2,55.3,42.6,6.7,51.7
6.7,76.3,80.3,64.4,9.6,78.6
4.5,97.2,81.8,71.6,8.0,78.8
4.5,86.8,80.8,83.6,7.5,87.0
6.0,78.1,48.3,58.5,6.3,63.6
1.3,75.1,61.0,66.5,5.7,50.2
1.7,78.9,80.3,75.4,7.6,72.2
4.3,71.9,68.6,68.3,6.9,65.7
3.3,52.7,51.9,41.2,5.4,41.7
6.2,100.0,74.9,69.6,5.2,73.0
3.5,79.9,57.3,48.6,5.8,59.9
2.4,82.8,94.9,76.2,9.2,75.5
8.7,77.3,91.2,80.0,9.7,96.3
5.0,69.2,77.1,65.8,7.2,68.2
5.6,75.8,88.4,83.1,7.2,88.6
2.4,58.8,69.0,48.5,6.6,53.3
4.3,100.0,79.5,77.7,5.9,79.1
5.7,63.2,90.2,60.4,8.7,79.1
3.0,65.6,71.7,61.6,9.2,66.3
6.3,72.7,64.2,64.4,5.9,68.8
4.2,93.5,42.4,50.0,6.9,54.2
4.9,78.2,66.8,65.7,6.5,66.0
4.2,63.2,80.4,57.3,6.5,60.9
9.6,93.1,82.2,60.2,8.4,86.5
5.5,86.8,75.6,72.7,5.4,79.8
3.2,84.5,59.9,73.0,7.6,63.4
7.3,86.6,38.3,39.7,7.9,54.5
2.8,100.0,60.6,73.1,6.8,60.1
6.0,100.0,63.4,65.2,8.1,67.7
1.2,69.8,63.3,46.6,7.2,48.1
2.6,97.5,77.3,62.8,8.5,76.6
5.9,82.6,97.8,79.6,5.2,86.4
7.1,84.0,69.9,61.2,6.6,77.5
5.9,57.7,64.7,44.5,6.9,58.2
5.2,76.0,64.1,45.7,4.0,62.8
4.8,68.2,69.9,53.7,5.7,62.2
2.2,87.9,55.6,59.1,6.0,50.2
3.9,90.9,69.8,66.1,8.1,70.2
4.5,53.1,74.8,55.4,6.2,71.5
7.8,77.7,71.1,65.1,6.0,85.3
6.3,91.5,74.9,77.4,8.0,85.2
1.6,75.8,74.5,68.1,5.1,61.6
6.2,86.7,41.4,48.5,4.5,56.3
4.7,82.2,77.6,75.7,6.6,77.9
4.0,82.1,57.9,49.7,5.3,57.2
6.8,74.7,51.6,50.3,5.3,62.2
7.8,63.4,51.4,47.5,7.7,63.1
7.5,64.5,74.5,52.2,8.1,72.9
3.7,86.5,64.7,58.9,7.9,60.2
4.8,78.2,42.8,31.5,8.3,47.8
6.2,76.3,75.2,80.7,8.5,84.7
7.6,72.9,46.4,41.2,4.4,56.2
4.4,74.3,70.1,74.8,7.5,72.5
5.1,90.6,71.6,67.3,6.4,72.7
3.1,74.0,81.3,72.7,6.1,66.4
2.9,61.9,94.7,68.6,7.7,74.2
7.3,86.9,47.5,54.5,4.9,58.1
8.5,75.5,67.2,66.0,4.9,71.0
5.3,78.4,63.9,65.1,7.8,74.6
7.7,97.3,74.5,76.5,7.6,85.1
6.3,77.8,71.2,60.7,7.2,70.2
4.1,81.5,62.7,56.0,5.9,69.2
6.3,63.9,61.4,42.0,7.9,65.7
8.9,75.4,51.3,56.3,7.8,68.0
5.4,85.3,82.8,80.5,7.1,85.0
8.9,59.3,74.9,73.9,5.6,79.0
0.5,80.4,81.8,72.5,6.5,63.2
7.3,79.2,63.3,53.5,8.0,73.7
